Envelope,Threshold
0.015313434164251724,0.05
0.015354302729098303,0.05
0.016556940107039276,0.05
0.01759818620881283,0.05
0.019442968279152584,0.05
0.020322663725586727,0.05
0.021200507858083188,0.05
0.021674341808962275,0.05
0.023109361521713556,0.05
0.023517587016216774,0.05
0.02487439926336659,0.05
0.02447277902786631,0.05
0.02351322589166458,0.05
0.02480529473383311,0.05
0.02474641334231632,0.05
0.025846219988721306,0.05
0.02651305941357468,0.05
0.02798873691619638,0.05
0.029265411335403557,0.05
0.027866949536967833,0.05
0.027691449471460464,0.05
0.02841628347401313,0.05
0.029946806357289194,0.05
0.03126293873431931,0.05
0.030315736263154595,0.05
0.031785170103709355,0.05
0.03273386614398286,0.05
0.03372637501238956,0.05
0.03385875750381347,0.05
0.03423256619380613,0.05
0.0342131168388407,0.05
0.03377942626191109,0.05
0.035303398894459825,0.05
0.03415539281890743,0.05
0.03384735014011066,0.05
0.03325490130871599,0.05
0.03176943685493854,0.05
0.03021813882240191,0.05
0.02884685884261761,0.05
0.02904024504186433,0.05
0.028926525437055393,0.05
0.030140754905897568,0.05
0.028292979029301748,0.05
0.02632661372025458,0.05
0.025985857068388952,0.05
0.02412666031930767,0.05
0.023426840189289398,0.05
0.023684722377424142,0.05
0.023338928896131286,0.05
0.023027240476639663,0.05
0.021941859511941005,0.05
0.02243751806731093,0.05
0.021405432903649196,0.05
0.02163028807163658,0.05
0.021978338619246723,0.05
0.022072531017003034,0.05
0.021714071328884633,0.05
0.020671432484970886,0.05
0.019926613629917534,0.05
0.019938283501406317,0.05
0.019845607276461404,0.05
0.01904235971953017,0.05
0.020430623905914994,0.05
0.021630971076929965,0.05
0.022650078327300913,0.05
0.023444686698548465,0.05
0.022474655990844795,0.05
0.021225405280592927,0.05
0.021056382806406895,0.05
0.021785003935519718,0.05
0.021860534470550315,0.05
0.021886181064560195,0.05
0.02266208671781021,0.05
0.022834864788827913,0.05
0.021661581788521952,0.05
0.021889116639696393,0.05
0.022574220190265552,0.05
0.023239998734615158,0.05
0.024390275868464744,0.05
0.025636883386280986,0.05
0.02491280227568303,0.05
0.024643189616484304,0.05
0.023814566043054725,0.05
0.022794696178981586,0.05
0.02207679492146322,0.05
0.021464155759944124,0.05
0.02175552167484192,0.05
0.021754721889049814,0.05
0.02165340827803198,0.05
0.021246477091388896,0.05
0.021341034860592856,0.05
0.020424060372856045,0.05
0.01950379099780668,0.05
0.018888877729766027,0.05
0.018967905557069547,0.05
0.018683831322385512,0.05
0.01853083396651366,0.05
0.01776180089514592,0.05
0.017417303672849983,0.05
0.017365657585786204,0.05
0.017264182902310254,0.05
0.017347858645702333,0.05
0.01708867818860977,0.05
0.017542186038461978,0.05
0.016723849020614728,0.05
0.016495453034056893,0.05
0.016870716693378817,0.05
0.01766511904817566,0.05
0.01726449530455661,0.05
0.016868178480064205,0.05
0.01710815421100186,0.05
0.017689617933993176,0.05
0.01763540688375855,0.05
0.017701362223588365,0.05
0.01831796324528673,0.05
0.018663252074374102,0.05
0.01788803995495171,0.05
0.018684680547262526,0.05
0.017509594332200343,0.05
0.015519669933073065,0.05
0.015476846354217741,0.05
0.015545879477022127,0.05
0.015188672634123398,0.05
0.014304623705592122,0.05
0.01532071082405175,0.05
0.016171080606693814,0.05
0.015804749617748595,0.05
0.015929281678868368,0.05
0.01709446126349148,0.05
0.017510319571467092,0.05
0.01692110642905478,0.05
0.016579878362621776,0.05
0.015531858708390332,0.05
0.015521956911931624,0.05
0.015405446311444259,0.05
0.01465211932816922,0.05
0.01515137611693465,0.05
0.015127391765453161,0.05
0.015412757250393528,0.05
0.01613783286356439,0.05
0.017934505627570443,0.05
0.018260719139267138,0.05
0.018419140405447496,0.05
0.01973460427893962,0.05
0.019885513493957428,0.05
0.0191470037698096,0.05
0.01918525100740887,0.05
0.018261959542295095,0.05
0.017387273967721228,0.05
0.018167331745593478,0.05
0.019657281703247327,0.05
0.020553406732074588,0.05
0.021818125678099865,0.05
0.02232588337580552,0.05
0.022539636078132527,0.05
0.02271316102304323,0.05
0.02267280051163831,0.05
0.02270574973297285,0.05
0.0229047894452425,0.05
0.023179177564665247,0.05
0.022689516428222412,0.05
0.022476066890374184,0.05
0.02233677992905377,0.05
0.022273573438629336,0.05
0.021170895542452974,0.05
0.021982654813613736,0.05
0.022459021125288206,0.05
0.02305943984577038,0.05
0.023467452913955716,0.05
0.022532674402516658,0.05
0.02255774578007411,0.05
0.022132883942456463,0.05
0.02175520328655374,0.05
0.021373942258570526,0.05
0.020608029071773618,0.05
0.02072677797355809,0.05
0.021409533000171746,0.05
0.021425669700054682,0.05
0.02043748062778793,0.05
0.019956393362668755,0.05
0.018936625972620285,0.05
0.01897403213944348,0.05
0.020135434010334487,0.05
0.019679216267870277,0.05
0.02009468917978568,0.05
0.018807466368491392,0.05
0.019201596011796586,0.05
0.019460716475049256,0.05
0.01833006169600034,0.05
0.01848043729740919,0.05
0.018756601569339646,0.05
0.020552811503937184,0.05
0.021789075592695346,0.05
0.024646457552273328,0.05
0.03058987370798388,0.05
0.033336876397157204,0.05
0.035397320174144764,0.05
0.04357578848789603,0.05
0.05672683021226595,0.05
0.07245278568926705,0.05
0.08929277818888337,0.05
0.11054307204707424,0.05
0.13459513024736902,0.05
0.1481718209816425,0.05
0.16371824273599275,0.05
0.1886291006746495,0.05
0.2020911407545394,0.05
0.21238762230323005,0.05
0.2248500115891994,0.05
0.23224642997867606,0.05
0.23417149683947203,0.05
0.25329696870680407,0.05
0.2984781335612241,0.05
0.34807510964990224,0.05
0.3778580358129007,0.05
0.3808280011083408,0.05
0.40459171947357353,0.05
0.4364454345178566,0.05
0.449915617881419,0.05
0.449472839213524,0.05
0.4422506422825485,0.05
0.4479163312751997,0.05
0.43640971674248197,0.05
0.4510921790104625,0.05
0.48553922297435176,0.05
0.4847419924428782,0.05
0.48509019364722944,0.05
0.5002010524858445,0.05
0.5176365401133752,0.05
0.5512803666430988,0.05
0.5820854170281187,0.05
0.5774248051775125,0.05
0.5489523823490707,0.05
0.5373151514805617,0.05
0.5603375202365974,0.05
0.6041304458079215,0.05
0.610995382148764,0.05
0.5897720119635637,0.05
0.5770609423601117,0.05
0.5779205552337595,0.05
0.584283433507534,0.05
0.5714108345064962,0.05
0.573393540731216,0.05
0.5683831287647205,0.05
0.5360493199057209,0.05
0.5260658484789941,0.05
0.531559265542031,0.05
0.5211341110766243,0.05
0.5122317610343587,0.05
0.49690391879675677,0.05
0.47328236152344216,0.05
0.46330725905301895,0.05
0.4524239434884573,0.05
0.4129247691805141,0.05
0.3621986563789247,0.05
0.3191257148430416,0.05
0.2863065187927173,0.05
0.2732615559577709,0.05
0.26527508642567615,0.05
0.24977269305002664,0.05
0.2340180943752132,0.05
0.2203870406849717,0.05
0.2054919549677603,0.05
0.18231337958725308,0.05
0.16692074855280223,0.05
0.15447134184770997,0.05
0.13973863585189158,0.05
0.1383478005125979,0.05
0.13333124394308743,0.05
0.11549654794394766,0.05
0.11346105791806058,0.05
0.11734475553743107,0.05
0.11840646526310815,0.05
0.12744684521803673,0.05
0.1325351953734591,0.05
0.13707784204996198,0.05
0.14155954040584032,0.05
0.1359174419369356,0.05
0.13584227075577332,0.05
0.14247231344097164,0.05
0.14958213366937936,0.05
0.15306267895020176,0.05
0.15228926246711882,0.05
0.15501080722822264,0.05
0.15407408470260767,0.05
0.15441688694857567,0.05
0.1514666910521057,0.05
0.13747640267344,0.05
0.12477384021426603,0.05
0.12038042470785641,0.05
0.11401333232823499,0.05
0.1037337509632859,0.05
0.09508029578405382,0.05
0.0860452466644663,0.05
0.07620236099793064,0.05
0.06732010485174308,0.05
0.062158274460462196,0.05
0.06227687340704131,0.05
0.05742418103122397,0.05
0.05020134585622313,0.05
0.04382259760874886,0.05
0.04108559106545098,0.05
0.041031626585066656,0.05
0.039514983871769466,0.05
0.03889598004738281,0.05
0.037792327944229466,0.05
0.03593454329229209,0.05
0.0357536854705804,0.05
0.03301635051903626,0.05
0.0295154668598644,0.05
0.02748097469013742,0.05
0.028352198429041308,0.05
0.028994000990441887,0.05
0.027430400434957026,0.05
0.024949284560242996,0.05
0.022661854937363144,0.05
0.022388431611594335,0.05
0.021853858149102786,0.05
0.021936400067439094,0.05
0.022930722455872708,0.05
0.022841449081164252,0.05
0.022277655814744182,0.05
0.022648279317526845,0.05
0.02114047078592347,0.05
0.01992194662691301,0.05
0.019429941591182966,0.05
0.018356821650175888,0.05
0.017998323443499515,0.05
0.017964584497700883,0.05
0.0183496796981588,0.05
0.018634207759737415,0.05
0.018209805466171628,0.05
0.01750871953747226,0.05
0.017509251239376033,0.05
0.01638309335442092,0.05
0.016976826793246417,0.05
0.01749610066028148,0.05
0.01696934369498184,0.05
0.016699477531865795,0.05
0.016906856898111753,0.05
0.016542480964707482,0.05
0.01640319600579375,0.05
0.016695661862572517,0.05
0.016165311615323984,0.05
0.016623067163441703,0.05
0.016897251286543083,0.05
0.017812251520775087,0.05
0.017820697012811013,0.05
0.01841304314256504,0.05
0.018320341795034983,0.05
0.018683630005724948,0.05
0.017780354464697386,0.05
0.017787575916641485,0.05
0.01740039364217422,0.05
0.01811201908287479,0.05
0.017536171979724603,0.05
0.017157564416220555,0.05
0.01772596067325314,0.05
0.01817504851943966,0.05
0.01695099838648665,0.05
0.016560433642489675,0.05
0.016094354723920436,0.05
0.016217483887113793,0.05
0.017767350211099254,0.05
0.018082662593683928,0.05
0.01815158743990607,0.05
0.017834662970115937,0.05
0.01757617469491525,0.05
0.0165601599433111,0.05
0.01622904919372439,0.05
0.016296038648401526,0.05
0.0175693299006007,0.05
0.019016496677305594,0.05
0.020223442435244484,0.05
0.020900913661409788,0.05
0.02150324213841818,0.05
0.02132764154347876,0.05
0.021080381357749024,0.05
0.021205745492008408,0.05
0.0215986091423451,0.05
0.02199365619917376,0.05
0.02244268176592282,0.05
0.02178240715342272,0.05
0.0208449356977996,0.05
0.020460003640247828,0.05
0.01966028742158096,0.05
0.019230836228881946,0.05
0.01920378268395512,0.05
0.020182237780754307,0.05
0.02161100226635663,0.05
0.02235700117850715,0.05
0.02136023220311016,0.05
0.020200208578851554,0.05
0.019416966026679066,0.05
0.01954665806454023,0.05
0.020531409457918072,0.05
0.02203997040219198,0.05
0.023874835095241055,0.05
0.0243255628874943,0.05
0.029228773778465115,0.05
0.04145343106538608,0.05
0.05647607906509183,0.05
0.07030204432493578,0.05
0.08305286926254947,0.05
0.0911587686529992,0.05
0.09660011846154969,0.05
0.10677624170137628,0.05
0.11710633192901199,0.05
0.12043879313521003,0.05
0.12167137928642985,0.05
0.12319667085497472,0.05
0.14274138632109765,0.05
0.17411179735320836,0.05
0.19670790069993024,0.05
0.20007103559098954,0.05
0.20105370625316143,0.05
0.20285857907372704,0.05
0.20919216645762811,0.05
0.21431508485334405,0.05
0.21322771514889755,0.05
0.21354867932624902,0.05
0.2222817243319888,0.05
0.24310228753265403,0.05
0.264780650751178,0.05
0.2873457610371411,0.05
0.30965754369780324,0.05
0.31574045308073284,0.05
0.31681261417751894,0.05
0.3233919221050947,0.05
0.32796261910608493,0.05
