Threshold,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
0.1,0.01811060979203122,0.008241520669821596,0.011592093443978727,0.0073001413339951,0.01790287937230248,0.0115010910893872,0.012728020037671886,0.008310958505474439
0.1,0.020665327596164008,0.008929986236058663,0.012439240714301216,0.007865886458546467,0.019115468426031162,0.012413534085787959,0.01357583661349078,0.010183558335991485
0.1,0.02243926415911322,0.008932770781129218,0.012583255293184624,0.009014838084401434,0.02010206670187223,0.013264589867795738,0.015064022543846116,0.011804134466559323
0.1,0.02398652086025217,0.010010409306762011,0.012920547820559484,0.009968967726303946,0.021852945865637338,0.014057432240132681,0.01590484131730113,0.013520037817943125
0.1,0.02538393869154007,0.010794065695296092,0.012960460368166104,0.012097498430149211,0.0243509273961427,0.014863357176490571,0.018053295762641988,0.014305213583933843
0.1,0.02729568583517223,0.011276131423370812,0.014003696523689723,0.013271842203508124,0.02568194973520364,0.01666203809555183,0.01977040135293063,0.015563022475017313
0.1,0.02816926784951588,0.011767741544301167,0.015512390838167057,0.013911930543247793,0.0261243306795183,0.018626110930314504,0.021430693554375255,0.016642069383684052
0.1,0.030117177118185588,0.011936347968671854,0.01703661931917977,0.014400217301165611,0.02789142651817845,0.0197501956326437,0.022865262181078767,0.017036537911335713
0.1,0.03071977796946553,0.012358840734488985,0.019015826728679543,0.015422838758184083,0.030380985831258,0.020521108539347615,0.023853750338271154,0.018288781770007742
0.1,0.032098816608854254,0.01378452236850486,0.021095693369884434,0.016039969098307558,0.03211481371235902,0.02231082751962951,0.024782646408555084,0.02005223719209169
0.1,0.032558075487667135,0.014420161672202576,0.022535240462670556,0.017445868284559924,0.033924214362646664,0.023110907006418654,0.0264928678060335,0.020538240510172976
0.1,0.03372229699624363,0.014763403917874666,0.021214485440902955,0.018087848067771677,0.03353277594446268,0.024154593920125037,0.028716956629539374,0.02159964096439485
0.1,0.03244027612783266,0.014902633255324555,0.021052289432165767,0.0172466285679812,0.03194879870366062,0.025074075521190876,0.029764354020604823,0.023238958113419642
0.1,0.03210797874173358,0.0162620667428838,0.020819900489961334,0.017619010110204076,0.033463330178437674,0.024920899780111166,0.0303043430843754,0.02456554415995893
0.1,0.03065406827366761,0.019251892817792077,0.021616729139102425,0.017016051349733764,0.03333078883575402,0.024668186191154094,0.030973613435826507,0.024666185236935086
0.1,0.02826692974650192,0.018440209523471786,0.02134742464003441,0.017237101932305692,0.03298095105049631,0.02441473579346696,0.030210955322485807,0.024798464179818912
0.1,0.02882080845411611,0.020127096127932315,0.02392822183119417,0.017401054219961236,0.03237593271827834,0.025095846014750373,0.02949962977406814,0.024896305518606793
0.1,0.029097105205057195,0.019641985130297957,0.023824654271816754,0.017773817195798895,0.0325510386379222,0.02517492052006514,0.03047999030291139,0.025363003553299145
0.1,0.02809287832662377,0.020440297460010658,0.023560911362795336,0.017319497568830586,0.03292893331546776,0.026408808983997518,0.031312661035596455,0.024634852364356464
0.1,0.028758523375665517,0.02071772836053646,0.02252268957158349,0.017264172366794422,0.03366140245390339,0.026397950446673243,0.030390398299409233,0.02401915225717592
0.1,0.028543021162153872,0.02223075407902614,0.022745821240048526,0.018416023505533393,0.03332801572923388,0.026146856916759303,0.030675054285204374,0.022942737808824252
